date,close,open,high,low,rate
2025-01,1.64,1.7,1.755,1.586,-1.80%
2024-12,1.67,2.07,2.071,1.668,-18.14%
2024-11,2.04,2.133,2.183,2.025,-4.23%
2024-10,2.13,2.148,2.196,2.08,0.00%
2024-09,2.13,2.27,2.27,2.025,-2.43%
2024-08,2.183,2.211,2.275,2.099,1.63%
2024-07,2.148,2.303,2.37,2.126,-2.72%
2024-06,2.208,2.347,2.41,2.2,-4.83%
2024-05,2.32,2.442,2.442,2.227,0.48%
2024-04,2.309,2.4,2.435,2.205,0.35%
2024-03,2.301,2.363,2.427,2.237,-2.62%
2024-02,2.363,2.473,2.539,2.341,-2.76%
2024-01,2.43,2.695,2.695,2.418,-5.78%
2023-12,2.579,2.719,2.734,2.565,-3.98%
2023-11,2.686,2.706,2.805,2.645,-0.85%
2023-10,2.709,2.74,2.767,2.686,-0.22%
2023-09,2.715,2.594,2.741,2.594,4.87%
2023-08,2.589,2.811,2.811,2.533,-4.00%
2023-07,2.697,2.7,2.81,2.636,0.52%
2023-06,2.683,2.785,2.82,2.622,-1.14%
2023-05,2.714,2.878,2.878,2.693,-2.55%
2023-04,2.785,2.913,2.958,2.775,-2.66%
2023-03,2.861,2.918,2.99,2.85,-1.79%
2023-02,2.913,2.966,3.02,2.889,-0.51%
2023-01,2.928,2.947,3.06,2.856,1.53%
2022-12,2.884,2.933,2.967,2.858,-1.33%
2022-11,2.923,2.67,2.943,2.65,10.30%
2022-10,2.65,2.865,2.865,2.636,-4.74%
2022-09,2.782,2.661,2.8,2.623,5.02%
2022-08,2.649,2.805,2.805,2.615,-3.99%
2022-07,2.759,2.853,2.905,2.755,-2.30%
2022-06,2.824,2.825,2.88,2.776,0.75%
2022-05,2.803,2.928,2.928,2.742,-1.34%
2022-04,2.841,2.854,2.922,2.783,0.85%
2022-03,2.817,2.854,2.935,2.761,0.93%
2022-02,2.791,2.8,2.887,2.712,1.53%
2022-01,2.749,2.85,2.89,2.66,-1.22%
2021-12,2.783,2.903,2.94,2.771,-2.93%
2021-11,2.867,3.03,3.05,2.848,-3.66%
2021-10,2.976,3,3.108,2.885,3.55%
2021-09,2.874,2.93,3,2.823,0.60%
2021-08,2.857,2.97,2.98,2.803,0.42%
2021-07,2.845,3.107,3.21,2.843,-7.72%
2021-06,3.083,3.112,3.23,3.068,0.19%
2021-05,3.077,3.208,3.26,3.063,-3.12%
2021-04,3.176,3.227,3.32,3.145,-0.78%
2021-03,3.201,3.325,3.36,3.196,-2.68%
2021-02,3.289,3.25,3.385,3.177,1.92%
2021-01,3.227,3.278,3.278,3.123,0.75%
2020-12,3.203,3.369,3.401,3.174,-2.35%
2020-11,3.28,3.19,3.418,3.166,2.76%
2020-10,3.192,3.294,3.3,3.161,1.17%
2020-09,3.155,3.055,3.25,3.038,3.34%
2020-08,3.053,3.035,3.135,2.94,2.69%
2020-07,2.973,2.9,3.2,2.87,2.69%
2020-06,2.895,2.738,3.01,2.703,6.94%
2020-05,2.707,2.545,2.753,2.54,7.85%
2020-04,2.51,2.66,2.682,2.49,-5.75%
2020-03,2.663,2.75,2.865,2.578,-4.82%
2020-02,2.798,2.85,2.955,2.798,-8.26%
2020-01,3.05,3.175,3.215,3.015,-3.88%
2019-12,3.173,3.215,3.287,3.14,-0.60%
2019-11,3.192,3.343,3.343,3.163,-2.71%
2019-10,3.281,3.19,3.378,3.115,3.99%
2019-09,3.155,3.08,3.215,3.015,2.84%
2019-08,3.068,3.192,3.194,3.015,-3.61%
2019-07,3.183,3.315,3.315,3.14,-2.93%
2019-06,3.279,3.32,3.324,3.243,-0.55%
2019-05,3.297,3.4,3.415,3.265,-3.48%
2019-04,3.416,3.14,3.48,3.114,11.09%
2019-03,3.075,3.218,3.28,3.075,-4.15%
2019-02,3.208,3.143,3.23,3.08,2.49%
2019-01,3.13,3.28,3.28,3.091,-4.28%
2018-12,3.27,3.42,3.443,3.268,-3.77%
2018-11,3.398,3.562,3.588,3.35,-3.82%
2018-10,3.533,3.64,3.668,3.525,-3.34%
2018-09,3.655,3.65,3.727,3.605,1.53%
2018-08,3.6,3.583,3.71,3.465,1.90%
2018-07,3.533,3.55,3.615,3.444,-0.28%
2018-06,3.543,3.666,3.722,3.534,-2.83%
2018-05,3.646,3.7,3.78,3.621,-0.19%
2018-04,3.653,3.8,3.8,3.52,-3.31%
2018-03,3.778,3.86,3.975,3.733,-2.05%
2018-02,3.857,3.986,3.99,3.847,-2.21%
2018-01,3.944,3.95,4.12,3.881,0.74%
2017-12,3.915,3.925,3.995,3.88,-0.05%
2017-11,3.917,3.919,4.033,3.871,0.03%
2017-10,3.916,3.7,3.917,3.63,7.64%
2017-09,3.638,3.714,3.714,3.599,-1.01%
2017-08,3.675,3.64,3.736,3.602,1.27%
2017-07,3.629,3.58,3.643,3.553,1.43%
2017-06,3.578,3.677,3.725,3.488,-2.51%
2017-05,3.67,3.5,3.717,3.455,5.55%
2017-04,3.477,3.334,3.519,3.28,5.05%
2017-03,3.31,3.395,3.451,3.257,-1.43%
2017-02,3.358,3.4,3.5,3.342,-0.15%
2017-01,3.363,3.03,3.363,3.03,9.69%
2016-12,3.066,2.948,3.401,2.948,4.18%
2016-11,2.943,2.753,2.964,2.688,7.25%
2016-10,2.744,2.78,2.78,2.601,-0.90%
